diam,alpha 1.5,alpha 2.5,alpha 5,alpha 10,alpha 15,human curve 1,human curve 2,human curve 3
4.0,0.0345849999434956,0.0376914506628,0.0476807457620433,0.0664231021822492,0.128,0.0166444571615081,0.020172540040789,0.0330389918534345
2.8,0.031673404634549,0.0379822371618576,0.0569699072930979,0.0673997563404564,0.128,0.0164407697821119,0.00535,0.0340142857889856
2.0,0.0273092699738875,0.034467451509733,0.0564648142487338,0.128,0.128,0.0366749414049556,0.0202,0.0385809109690829
1.4,0.0253264808321177,0.0353898221376776,0.0684188276276024,0.127941065538166,0.127999804863998,0.033726937822245,0.0450000224254841,0.0496735687646204
1.0,0.0367314562320581,0.0468826119921777,0.0784446068721286,0.12799956924328,0.127999701617361,0.0794618316664711,0.0577092595263152,0.101288892728509
0.7,0.0579886552745756,0.0706083429436509,0.109541556663236,0.238,0.238,0.125994879949922,0.238,0.149860118807855
0.5,0.0480962070892376,0.0557901777060368,0.0759268389133273,0.117954439507829,0.163325632760015,0.178849468391545,0.12204847715462,0.297395468328659
0.35,0.0711550680236843,0.0837895752287487,0.123040482248075,0.205549943440036,0.237995865779295,0.222613921076867,0.366356302301869,0.342103848405877
0.25,0.0931616448713841,0.114775219013542,0.181184148229388,0.237999583279731,0.237999999619897,0.428280636277827,0.331051305822139,0.569529701284845
