Nominal Diameter (mm),Nominal contrast
4,0.0370900168247174
2.8,0.0515753637004426
2,0.0469737844144484
1.4,0.0642270690914528
1,0.0719435786284929
0.7,0.101981839148688
0.5,0.069475502832195
0.35,0.122261825308875
0.25,0.177133981580205
