Nominal Diameter (mm),Nominal contrast
5.6,0.0112
4,0.0876
2.8,0.0876
2,0.0876
1.4,0.128
1,0.0202
0.7,0.128
0.5,0.1065
0.35,0.11006951378308
0.25,0.44038677800831
