Diameter,75%threshold Visibility Contrast
4,0.0166444571615081
5,0.0164407697821119
6,0.0366749414049556
7,0.033726937822245
8,0.0794618316664711
9,0.125994879949922
10,0.178849468391545
11,0.222613921076867
12,0.428280636277827
