Diameter,75%threshold Visibility Contrast
4,0.0148268535011106
5,0.0212139571125655
6,0.0178254756100078
7,0.0283143787246297
8,0.0459890313570221
9,0.0755427279586086
10,0.0954934697961207
11,0.228295581602881
12,0.201636598925943
