Nominal Diameter (mm),Nominal contrast
4,0.0664231021822492
2.8,0.0673997563404564
2,0.128
1.4,0.127941065538166
1,0.12799956924328
0.7,0.238
0.5,0.117954439507829
0.35,0.205549943440036
0.25,0.237999583279731
