Diameter,75%threshold Visibility Contrast
4,0.020172540040789
5,0.00535
6,0.0202
7,0.0450000224254841
8,0.0577092595263152
9,0.238
10,0.12204847715462
11,0.366356302301869
12,0.331051305822139
