Nominal Diameter (mm),Nominal contrast
4,0.128
2.8,0.128
2,0.128
1.4,0.127999804863998
1,0.127999701617361
0.7,0.238
0.5,0.163325632760015
0.35,0.237995865779295
0.25,0.237999999619897
