Nominal Diameter (mm),Nominal contrast
4,0.128
2.8,0.128
2,0.128
1.4,0.127999999494261
1,0.238
0.7,0.238
0.5,0.202703237802375
0.35,0.237999693204127
0.25,0.23799982485261
