Nominal Diameter (mm),Nominal contrast
4,0.0603060056727654
2.8,0.0673998641477774
2,0.128
1.4,0.12679058529348
1,0.127999714458087
0.7,0.127998812011764
0.5,0.119773874921421
0.35,0.198181048690474
0.25,0.237999981961542
