Diameter,75%threshold Visibility Contrast
4,0.0101
5,0.128
6,0.0443561417872895
7,0.0444791236557177
8,0.0930597245986584
9,0.10559583215827
10,0.235223908877608
11,0.334950423274911
12,0.489142664383799
