Nominal Diameter (mm),Nominal contrast
4,0.0261048115550408
2.8,0.0406542453359452
2,0.0334621957400989
1.4,0.0361746875980211
1,0.0459195983261219
0.7,0.0702939388183831
0.5,0.061202553228411
0.35,0.0932443875155195
0.25,0.129864306243474
