Diameter,75%threshold Visibility Contrast
4,0.0170198102323665
5,0.0214999370833701
6,0.0201790491777923
7,0.0402430424226657
8,0.238
9,0.0798587877147391
10,0.1107477814009
11,0.15507451589301
12,0.27173975829603
