Nominal Diameter (mm),Nominal contrast
5.6,0.0673999999306108
4,0.0673999999345637
2.8,0.0673999999373422
2,0.0875999997786611
1.4,0.0875999999806762
1,0.0875999999722435
0.7,0.127999999999825
0.5,0.127999999999975
0.35,0.127999999998979
0.25,0.572999999823157
