Nominal Diameter (mm),Nominal contrast
5.6,0.0064
4,0.0112
2.8,0.0112
2,0.0101
1.4,0.128
1,0.0202
0.7,0.0101
0.5,0.573
0.35,0.057654895773853
0.25,0.404267353538308
