Diameter,75%threshold Visibility Contrast
4,0.0213428412136161
5,0.0101
6,0.128
7,0.0613951507482374
8,0.0628669371896984
9,0.161947180825528
10,0.246912692608601
11,0.341344963402737
12,0.372279071527019
