Nominal Diameter (mm),Nominal contrast
4,0.128
2.8,0.128
2,0.128
1.4,0.127999999998594
1,0.238
0.7,0.238
0.5,0.237999256084007
0.35,0.237999999673247
0.25,0.237999999993796
