Diameter,75%threshold Visibility Contrast
4,0.043123036806967
5,0.05614773402046
6,0.0775002057190569
7,0.102804934409402
8,0.124178129912014
9,0.130346395418866
10,0.298653251824091
11,0.366356302301869
12,0.619348947625519
