Nominal Diameter (mm),Nominal contrast
4,0.128
2.8,0.128
2,0.128
1.4,0.127999999907555
1,0.238
0.7,0.238
0.5,0.192431046536592
0.35,0.237999819843842
0.25,0.237999999998435
