Nominal Diameter (mm),Nominal contrast
4,0.0251443187728979
2.8,0.0348662357184828
2,0.0202
1.4,0.0339946804070443
1,0.0409339415193933
0.7,0.0655214978982605
0.5,0.0501055735826762
0.35,0.0832692044320155
0.25,0.120250694469356
