Nominal Diameter (mm),Nominal contrast
4,0.0369718349620863
2.8,0.052725148671267
2,0.0202
1.4,0.0626953529331494
1,0.0693273285444873
0.7,0.100372311051885
0.5,0.0689558859166828
0.35,0.12214324672456
0.25,0.183924039635484
